sceneId,className,methodName,sumDuration,times
41,ProductInStockingPointInPeriod,materialReason,357,88242
41,ProductInStockingPointInPeriod,allFulfilledDemandQuantityForOG,262,88242
41,ProductRouting,supplyWithLotSize,75,10800
41,SupplyChainPlanner,jointIdToPISPFromDataMap,29,1
41,ProductInStockingPointInPeriod,start,513,88242
41,SupplyChainUnit,supplyChainId,2,156
41,ProductInStockingPoint,isSemiFinishedProductStockingPoint,64,12606
41,ProductRoutingStep,firstPRSOU,49,12600
41,TargetlnventorySpecification,productId,0,3
41,UnitPeriodInfinite,startDate,0,35
41,ProductInStockingPointInPeriod,stockingPointId,272,88242
41,PeriodDefinition,start,1,1
41,UnitPeriodTime,unitAvailability,8,1057
41,UnitPeriodTime,freeCapacityDuration,15,1057
41,Product,minInputQuantity,68,5407
41,ProductRoutingStep,hasNoOutputs,44,12600
41,DailyPeriod,duration,1,35
41,UnitPeriodInfinite,unitName,0,35
41,ProductInStockingPoint,batchConstraintMonthNum,49,12606
41,PeriodTask,leadSameStepInPeriods,1862,88200
41,UnitPeriodInfinite,isBeforeStartOfPlanningHorizon,1,35
41,ProductRoutingStepOnUnit,periodTasks,270,12600
41,ProductRouting,hasMinOrderQuantity,22,10800
41,UnitPeriodTime,usedNormalCapacityDuration,2,1057
41,PeriodTask,productRoutingStep,241,88200
41,PeriodTask,isUnitAvailableCapacityZero,525,88200
41,PeriodTask,newSupplies,1392,88200
41,SupplyChainPlanner,jointIdToResourceGroupFromPPMap,0,1
41,SupplyChain,parentSupplyChain,0,7
41,ProductInStockingPointInPeriod,isBeforeStartOfPlanningHorizon,349,88242
41,ProductRoutingStepOnUnit,productRoutingStepId,28,12600
41,PeriodTask,product,236,88200
41,ProductInStockingPointInPeriod,startDate,720,88242
41,ProductInStockingPointInPeriod,salesDemands,385,88242
41,UnitPeriodInfinite,unitId,0,35
41,UnitPeriodTime,shiftPattern,5,1057
41,SupplyChainUnit,unitPeriodQuantities,2,156
41,SupplyChainPlanner,jointIdToRoutingStepFromPPMap,0,1
41,ProductRouting,isTransportRouting,25,10800
41,SupplyChainPlanner,parentUnitIdToUnitMap,1,1
41,ProductRouting,hasLotSize,59,10800
41,Period,isBeforeStartOfPlanningHorizon,0,7
41,PeriodDefinitionSequence,end,0,1
41,Period,periodNr,0,7
41,SupplyChainPlanner,jointIdToPISPFromStatisticMap,0,1
41,Period,next,0,7
41,ProductInStockingPoint,totalOriginalSalesDemandQuantity,58,12606
41,PeriodTask,productNameOfOutput,477,88200
41,ProductRouting,isDetectionRouting,21,10800
41,PeriodTask,usedCapacity,454,88200
41,SupplyChainPlanner,unitIdToSupplyChainUnitsFromPPMap,1,1
41,ProductInStockingPointInPeriod,dependentDemands,802,157542
41,ProductInStockingPointInPeriod,isSemiFinishedProductStockingPoint,218,88242
41,ProductRouting,scp,36,10800
41,PeriodTask,periodTaskInOwner,366,88200
41,ProductInStockingPoint,salesDemands,70,12606
41,PeriodTask,asLeadSameStepInPeriod,1338,88200
41,UnitPeriodTime,isBeforeStartOfPlanningHorizon,6,1057
41,NewSupply,quantity,183,75756
41,ProductInStockingPointInPeriod,purchaseRequestReleaseQuantity,287,88242
41,UnitPeriodTime,duration,8,1057
41,ProductInStockingPointInPeriod,salesDemandQuantity,809,88242
41,StockingPoint,isFinishedProductStockingPoint,0,8
41,DailyPeriod,endDate,0,35
41,Product,allProductRoutings,79,5407
41,ProductRouting,planOrders,55,10800
41,DependentDemand,productId,388,69300
41,PeriodTask,hasLotSizeInThisPeriod,220,88200
41,SupplyChainPlanner,periods,0,1
41,SupplyChainPlanner,productIdToProductsFromAutoMap,0,1
41,DependentDemand,inventoryInfo,283,69300
41,SupplyChainUnit,defaultShiftPattern,3,156
41,ProductRouting,productRoutingSteps,106,21600
41,ProductInStockingPointInPeriod,stockingPointName,226,88242
41,SupplyChainPlanner,jointIdToProductRoutingStepOnResourceFromPPMap,83,1
41,ProductInStockingPointInPeriod,resourceReason,638,88242
41,PeriodTask,productionCycleTime,355,88200
41,UnitPeriodInfinite,start,0,35
41,SupplyChainPlanner,iopMap,72,2
41,ProductRoutingStep,outputProducts,193,23400
41,ProductRouting,supplyWithMOQ,66,10800
41,ProductRoutingStep,productRoutingStepOnUnits,76,22500
41,BillOfMaterial,rawMaterial,30,4500
41,SupplyChainPlanner,productRoutingIdToProductRoutingStepOnResourceFromPPMap,48,1
41,SupplyChainPlanner,unitIdToSupplyChainUnitsFromAutoMap,0,1
41,DependentDemand,inventoryFlagGroup,576,69300
41,PeriodTask,freeCapacity,944,88200
41,DependentDemand,dependentDemandSet,261,69300
41,ProductInStockingPointInPeriod,isFinishedProductStockingPoint,225,88242
41,PeriodTask,resourceFlag,1113,88200
41,ProductRouting,minOrderQuantity,19,10800
41,ProductInStockingPointInPeriod,productId,380,88242
41,SupplyChainPlanner,jointIdToProductRoutingFromPPMap,3,1
41,PeriodTask,asLeadPreviousStepInPeriod,508,88200
41,SupplyChainPlanner,prsMap,36,2
41,SupplyChainPlanner,unitPeriods,1,1
41,ProductStatisticLevel,level,0,1
41,UnitPeriodTime,unitId,4,1057
41,ProductInStockingPointInPeriod,inventorySupplyQuantity,1036,88242
41,UnitPeriodTime,usedExtraCapacityDuration,5,1057
41,UnitPeriodInfinite,hasChildren,0,35
41,SupplyChainPlanner,productInStockingPoints,11,2
41,ProductInStockingPointInPeriod,dependentDemandQuantity,718,88242
41,SupplyChainPlanner,pispip2NsMap,304,1
41,SupplyChainPlanner,supplyChainUnits,0,1
41,SupplyChainPlanner,productIdToProductsFromBOMMap,32,1
41,UnitPeriodTime,isFreeAvailableCapacityZero,8,1057
41,UnitPeriodTime,nrOfUnitsOpen,4,1057
41,SupplyChainPlanner,jointIdToResourceFromPPMap,1,1
41,NewSupply,materialFlag,216,75756
41,ProductInStockingPointInPeriod,isRawMaterialStockingPoint,217,88242
41,ProductInStockingPointInPeriod,fulfilledSalesDemandQuantity,1073,88242
41,ProductInStockingPointInPeriod,supplyQuantity,453,88242
41,PeriodTask,end,439,88200
41,InputOutputProduct,isMaterialConstraint,100,20700
41,PeriodTask,unitId,568,88200
41,ProductRouting,hasMinOrderQuantityInKT,125,10800
41,PeriodTask,quantityToProcess,176,88200
41,ProductInStockingPoint,isRawMaterialStockingPoint,61,12606
41,InputOutputProduct,product,146,20700
41,UnitPeriodInfinite,endDate,0,35
41,ProductRouting,isLeadRouting,50,10800
41,PeriodDefinition,end,0,1
41,Product,statisticProductInStockingPoints,177,5409
41,PeriodTask,startDate,346,88200
41,DependentDemand,firstPriority,172,69300
41,PeriodTask,isLastPeriodTask,195,88200
41,Product,statisticStockingPoints,167,5409
41,ProductInStockingPoint,needsToBeSupplied,30,12606
41,Product,inspectionDuration,80,5407
41,ProductStatisticLevel,productParentStatisticLevel,0,1
41,DependentDemand,inventoryFlagFromPispip,243,69300
41,PeriodTask,endDate,341,88200
41,ProductRoutingStepOnUnit,allowedUnitInfo,67,12600
41,ProductInStockingPoint,monthlyDeliveredQuantityN,66,12606
41,ProductInStockingPointInPeriod,purchaseOrdersInDetectPisp,454,88242
41,ProductInStockingPointInPeriod,inventoryFlag,1814,88242
41,UnitPeriodTime,hasChildren,2,1057
41,UnitPeriodInfinite,periodTasks,37,35
41,ProductInStockingPointInPeriod,hasChildren,294,88242
41,ProductInStockingPoint,allProductRoutings,50,12606
41,UnitPeriodInfinite,isRemainNormalCapacityZero,0,35
41,SupplyChainPlanner,pispMap,74,2
41,ProductRoutingStepOnUnit,productCycleTime,104,12600
41,UnitPeriodTime,isAvailableTotalCapacityZero,4,1057
41,PeriodTask,next,1253,88200
41,ProductInStockingPoint,currentInventoryQuantity,77,12606
41,ProductRoutingStep,hasNoInputs,58,12600
41,UnitPeriodInfinite,end,0,35
