model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalMinCapacity,92,1330
supplychain-planner,性能测试1/3,Product,calcCurrentInventories,1188,1989
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN2,1022,1989
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN1,984,1989
supplychain-planner,性能测试1/3,ProductRoutingStep,calcIsLast,1773,1979
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN3,1007,1989
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcProductInStockingPointName,143766,41664
supplychain-planner,性能测试1/3,PlanOrder,calcPreviousPlanOrderSteps,23819,25727
supplychain-planner,性能测试1/3,Product,calcDeliveredInCurrentMonth,3538,3973
supplychain-planner,性能测试1/3,ProductRouting,calcBillOfMaterials,13532,1979
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcStartTime,1569,987
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalCapacity,1777,1330
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemand,667,1989
supplychain-planner,性能测试1/3,PeriodDefinition,calcNumberOfFrozenPeriod,1,1
supplychain-planner,性能测试1/3,Product,calcInspectionAndPurchaseDuration,1128,1989
supplychain-planner,性能测试1/3,Period,calcPeriodDefinitionSequence,8,7
supplychain-planner,性能测试1/3,ProductRouting,calcProductName,18871,1979
supplychain-planner,性能测试1/3,UnitPeriodTime,calcVariableCost,238,1330
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcAbnormalReasons,16349,31724
supplychain-planner,性能测试1/3,PeriodTask,calcStartDate,3838,7912
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcProductInStockingPointInMonth3,7466,11904
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcProductInStockingPointInMonth2,7648,11904
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcFromPlant,581,987
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcProductInStockingPointInMonth1,7656,11904
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcProductInStockingPointInMonth0,33138,11904
supplychain-planner,性能测试1/3,DependentDemand,calcInputValidTill,2865,3948
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMutexProductions,7,35
supplychain-planner,性能测试1/3,DependentDemand,calcInventoryFlagGroup,1523,3964
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMaxCapacity,1265,63
supplychain-planner,性能测试1/3,InputProduct,calcCumulativePISPs,738,1979
supplychain-planner,性能测试1/3,PlanOrder,calcPlantId,22126,13853
supplychain-planner,性能测试1/3,PeriodTask,calcUnitPeriodMutexInPeriodHasUsedCapacity,2406,7912
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcSalesDemandQuantity,17996,41664
supplychain-planner,性能测试1/3,Product,calcProductRouting,19753,5967
supplychain-planner,性能测试1/3,BusinessKPI,calcSupplyChainUnitNode,50,1
supplychain-planner,性能测试1/3,NewSupply,calcInputForReplace,99648,11860
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcIsActiveProductLevel,12721,5952
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUtilization,8,35
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitCapacity,227,1330
supplychain-planner,性能测试1/3,NewSupply,calcFirstDependentDemand,9503,11860
supplychain-planner,性能测试1/3,BusinessKPI,calcProductionQuantity,6,2
supplychain-planner,性能测试1/3,PeriodTask,calcLeadVicePeriodTasks,2973,7912
supplychain-planner,性能测试1/3,Product,calcReleaseInventoryQuantity,804,1989
supplychain-planner,性能测试1/3,ProductRoutingStep,calcQuantityInFactor,2981,2966
supplychain-planner,性能测试1/3,ProductRoutingInDay,calcDetectedPISPIPForPiece,203034,34545
supplychain-planner,性能测试1/3,PlanOrder,calcIsFroze,6807,13853
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcIsUndetectedStockingPoint,6089,5952
supplychain-planner,性能测试1/3,ProductRouting,calcPlanOrders,32455,3958
supplychain-planner,性能测试1/3,DependentDemand,calcInvalidRoutingInfoFromPispip,2801,3948
supplychain-planner,性能测试1/3,PlanOrder,calcReleaseTag,5509,13853
supplychain-planner,性能测试1/3,DependentDemand,calcProduct,4355,3948
supplychain-planner,性能测试1/3,PlanOrder,calcIsInReleaseHorizon,13077,13853
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcProductRoutingInDays,171794,55552
supplychain-planner,性能测试1/3,PeriodTask,calcBaseCost,2508,7912
supplychain-planner,性能测试1/3,ProductRoutingStep,calYield,6211,4945
supplychain-planner,性能测试1/3,ProductRoutingInDay,calcOutputProduct,144074,34545
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcPispipForPiecesOnOwner,27645,9921
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcInvalidRoutingInfo,215668,207732
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcProductInStockingPointInMonths,35889,11904
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitPeriodMutexInPeriod,208,1330
supplychain-planner,性能测试1/3,ProductRouting,calcUnitId,20370,1979
supplychain-planner,性能测试1/3,ProductInStockingPointInMonth,calcStockingPointAttribute,13739,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcProductInStockingPoint,190568,27776
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitPeriodMutexExtra,8,35
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcTotalOriginalSalesDemandQuantity,1859,5952
supplychain-planner,性能测试1/3,Product,calcHasValidProductLevel,1998,5962
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcReleasePISPs,170709,41664
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcProductCapacityInUnitPeriods,17,35
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcRate,72009,41664
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriodForPP,calcOriginalSalesDemandQuantity,17785,27776
supplychain-planner,性能测试1/3,ProductRoutingInMonth,calcProduct,2734,987
supplychain-planner,性能测试1/3,Product,calcPlanOrders,17736,3963
supplychain-planner,性能测试1/3,PeriodTask,calcProductNameOfOutput,5066,7912
supplychain-planner,性能测试1/3,BillOfMaterial,calcBillOfMaterialsOnSameProduct,2613,1984
supplychain-planner,性能测试1/3,Product,calcOrderTypeName,728,1989
supplychain-planner,性能测试1/3,SupplyChainUnit,calcParent,634,195
supplychain-planner,性能测试1/3,PlanOrderStep,calcIsProductionOrder,13773,13853
supplychain-planner,性能测试1/3,ProductRoutingInDay,calcDetectProductInStockingPoints,149603,34545
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcIsConventionalProduct,12759,5952
supplychain-planner,性能测试1/3,ProductInStockingPointInPeriod,calcLaterFulfilledInfo,19883,41664
supplychain-planner,性能测试1/3,ProductInStockingPoint,calcTotalLeadTime,1866,5952
