model,scene,nodeType,methodName,totalTime,execCount
supplychain-planner,性能测试1/3,Product,calcIsConventionalProduct,5,5
supplychain-planner,性能测试1/3,Product,calcFeedbackQuantity,1,5
supplychain-planner,性能测试1/3,Product,calcIsActiveProductLevel,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcVariableCostPerQuantity,10,40
supplychain-planner,性能测试1/3,Period,calcInterestRate,17,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasCapacityType,319,195
supplychain-planner,性能测试1/3,Product,calcPurchaseRequestQuantity,2,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasProductRoutingIncludingChildren,78,195
supplychain-planner,性能测试1/3,Period,calcStartDate,12,8
supplychain-planner,性能测试1/3,Product,calcBillOfMaterials,3,5
supplychain-planner,性能测试1/3,Product,calcAverageQuantityDemandInDay,2,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalMinCapacity,103,1520
supplychain-planner,性能测试1/3,SupplyChainUnit,calcInputStockingPointUnits,104,195
supplychain-planner,性能测试1/3,PeriodDefinition,calcPreviousPeriodDefinition,1,1
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitMutexInPeriodInfos,132,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcStart,79,40
supplychain-planner,性能测试1/3,Product,calcCurrentInventories,7,5
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN2,4,5
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN1,3,5
supplychain-planner,性能测试1/3,Product,calcTotalUnfulfilledQuantityN3,3,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitAvailability,437,1632
supplychain-planner,性能测试1/3,Product,calcDeliveredInCurrentMonth,2,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcNext,3058,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalCapacity,2265,1520
supplychain-planner,性能测试1/3,Product,calcTotalQuantityDemand,2,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalCapacityDuration,1918,2312
supplychain-planner,性能测试1/3,UnitPeriodTime,calcProductCapacityInUnitPeriods,449,1520
supplychain-planner,性能测试1/3,PeriodDefinition,calcNumberOfFrozenPeriod,1,1
supplychain-planner,性能测试1/3,Product,calcInspectionAndPurchaseDuration,8,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcFreeCapacity,2227,1592
supplychain-planner,性能测试1/3,Period,calcPeriodDefinitionSequence,11,8
supplychain-planner,性能测试1/3,PeriodDefinition,calcPeriodBeforePlanningHorizon,1,1
supplychain-planner,性能测试1/3,BusinessKPI,calcPeriodNode,12,1
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcTotalMaxCapacity,70,72
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalExtraCapacityDuration,683,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcVariableCost,234,1520
supplychain-planner,性能测试1/3,StockingPoint,calcSupplyChainId,6,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcPrevious,54,40
supplychain-planner,性能测试1/3,SupplyChain,calcChildren,40,6
supplychain-planner,性能测试1/3,SupplyChain,calcParent,17,6
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMutexProductions,12,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalAvailableCapacityInHour,1881,2312
supplychain-planner,性能测试1/3,Product,calcInventoryCoverDays,4,5
supplychain-planner,性能测试1/3,Period,calcSalesDemands,14,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcMaxCapacity,61,72
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcDigitalRoutingPatternId,29,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitPeriodInOwner,82,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitPeriodMutexInPeriod,9,40
supplychain-planner,性能测试1/3,PeriodDefinition,calcEnd,11,2
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitMutexInPeriod,401,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitCost,418,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitId,5846,1520
supplychain-planner,性能测试1/3,PeriodDefinitionSequence,calcStartWithHistory,8,1
supplychain-planner,性能测试1/3,Product,calcProductRouting,6,5
supplychain-planner,性能测试1/3,Product,calcHasChild,6,5
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemandsForN,3,5
supplychain-planner,性能测试1/3,Product,calcAllBillOfMaterials,51,5
supplychain-planner,性能测试1/3,BusinessKPI,calcSupplyChainUnitNode,47,1
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasParent,285,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUtilization,10,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitCapacity,282,1520
supplychain-planner,性能测试1/3,BusinessKPI,calcProductionQuantity,6,2
supplychain-planner,性能测试1/3,StockingPoint,calcProductInStockingPoints,8,8
supplychain-planner,性能测试1/3,Product,calcDeliveredInPreviousMonth,3,5
supplychain-planner,性能测试1/3,Product,calcReleaseInventoryQuantity,2,5
supplychain-planner,性能测试1/3,Period,calcPeriodNr,13,8
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitCosts,168,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcCapacityLoadPercentage,16,72
supplychain-planner,性能测试1/3,Product,calcPurchaseOrders,5,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcVariableCostPerQuantity,209,1520
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcVariableCostFactor,42,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcCurrencyInPeriod,125,1520
supplychain-planner,性能测试1/3,Product,calcInventoryDemandCoverCoef,4,5
supplychain-planner,性能测试1/3,Period,calcPreviousPeriod,13,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcPreviousPeriodLastShiftDay,1257,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcHasUnitAvailability,362,1632
supplychain-planner,性能测试1/3,StockingPoint,calcInputStockingPointUnits,5,8
supplychain-planner,性能测试1/3,Period,calcOriginalSalesDemands,8,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcChildrenUnits,12,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcPeriodTaskInfo,277,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitPeriodMutexExtra,389,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUnitPeriodMutexInPeriod,317,1520
supplychain-planner,性能测试1/3,Period,calcSupplyChainUnits,8670,816
supplychain-planner,性能测试1/3,UnitPeriodTime,calcShiftPattern,1333,1632
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcHasUnitAvailability,10,40
supplychain-planner,性能测试1/3,Product,calcHasProductProductionRoutingSteps,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitPeriodMutexExtra,9,40
supplychain-planner,性能测试1/3,Product,calcHasValidProductLevel,5,10
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcProductCapacityInUnitPeriods,20,40
supplychain-planner,性能测试1/3,MonthlyPeriod,calcPeriods,15,1
supplychain-planner,性能测试1/3,Period,calcIsLatestFrozenPeriod,14,16
supplychain-planner,性能测试1/3,Period,calcMaxPostponeDays,10,8
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcPeriods,14,1
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcTotalAvailableCapacity,62,72
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcWIP,5,40
supplychain-planner,性能测试1/3,Product,calcPlanOrders,5,5
supplychain-planner,性能测试1/3,Product,calcOrderTypeName,3,5
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcDuration,38,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcTotalUnavailableCapacity,2064,2312
supplychain-planner,性能测试1/3,SupplyChainUnit,calcParent,656,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcTotalExtraCapacityDuration,10,40
supplychain-planner,性能测试1/3,StockingPoint,calcStockingPointUnits,10,8
supplychain-planner,性能测试1/3,Product,calcActiveProductLevel,6,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcChildren,1443,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitMutexInPeriod,9,40
supplychain-planner,性能测试1/3,PeriodDefinitionSequence,calcStart,16,1
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcEnd,85,3
supplychain-planner,性能测试1/3,Product,calcInsertOrderDemandsForN,3,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcHasChildren,243,195
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitAvailabilities,317,390
supplychain-planner,性能测试1/3,PeriodDefinition,calcFirstPeriod,13,2
supplychain-planner,性能测试1/3,GlobalParameter,calcDefaultInventoryLadderCoef,6,1
supplychain-planner,性能测试1/3,SupplyChainUnit,calcIsUnitIdBlank,94,195
supplychain-planner,性能测试1/3,SupplyChainUnit,calcDefaultShiftPattern,296,195
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUnitAvailabilitiesOnOwner,10,40
supplychain-planner,性能测试1/3,Period,calcProductionPlanOrders,4,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcNrOfTemporaryClose,5,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcPeriodTasks,543,1520
supplychain-planner,性能测试1/3,Product,calcFinishedQuantity,6,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcUsedCapacity,406,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcHasPreviousAndBelongToSameShiftPattern,140,1520
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMaxTotalProductCapacity,134,1520
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcShiftPattern,17,40
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcIsBeforeStartOfPlanningHorizon,9,40
supplychain-planner,性能测试1/3,UnitPeriodTime,calcDigitalRoutingPatternId,1072,1520
supplychain-planner,性能测试1/3,Period,calcMonthNr,13,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcSupplyChainPlanner,34,40
supplychain-planner,性能测试1/3,Period,calcTimeUnit,11,8
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcIsFreeCapacityZero,82,72
supplychain-planner,性能测试1/3,Period,calcGlobalParameter,15,8
supplychain-planner,性能测试1/3,Product,calcHasProductionRouting,2,5
supplychain-planner,性能测试1/3,Product,calcSalesOrderDemands,5,5
supplychain-planner,性能测试1/3,SupplyChainUnit,calcUnitMutexInPeriod,182,195
supplychain-planner,性能测试1/3,Product,calcIsJitOuterPackageMaterial,5,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcWIP,156,1520
supplychain-planner,性能测试1/3,SupplyChainPlanner,calcScheduleSpan,27,3
supplychain-planner,性能测试1/3,Product,calcStatisticStockingPoints,2,5
supplychain-planner,性能测试1/3,UnitPeriodTime,calcCapacityFactor,130,1520
supplychain-planner,性能测试1/3,UnitPeriodQuantity,calcUsedCapacity,39,40
supplychain-planner,性能测试1/3,Period,calcFulfillmentQuantity,7,8
supplychain-planner,性能测试1/3,UnitPeriodTime,calcMutexProductions,460,1520
supplychain-planner,性能测试1/3,Product,calcHasDemand,3,5
