sceneId,className,methodName,sumDuration,times
10,ProductInStockingPointInPeriod,materialReason,180,41706
10,ProductInStockingPointInPeriod,allFulfilledDemandQuantityForOG,127,41706
10,ProductRouting,supplyWithLotSize,30,3963
10,SupplyChainPlanner,jointIdToPISPFromDataMap,12,1
10,ProductInStockingPointInPeriod,start,164,41706
10,SupplyChainUnit,supplyChainId,5,195
10,ProductInStockingPoint,isSemiFinishedProductStockingPoint,25,5958
10,ProductRoutingStep,firstPRSOU,10,3963
10,TargetlnventorySpecification,productId,0,3
10,UnitPeriodInfinite,startDate,0,35
10,ProductInStockingPointInPeriod,stockingPointId,142,41706
10,PeriodDefinition,start,1,1
10,UnitPeriodTime,unitAvailability,6,1330
10,UnitPeriodTime,freeCapacityDuration,14,1330
10,Product,minInputQuantity,19,1991
10,ProductRoutingStep,hasNoOutputs,17,3963
10,DailyPeriod,duration,0,35
10,UnitPeriodInfinite,unitName,0,35
10,ProductInStockingPoint,batchConstraintMonthNum,17,5958
10,PeriodTask,leadSameStepInPeriods,792,27741
10,UnitPeriodInfinite,isBeforeStartOfPlanningHorizon,1,35
10,ProductRoutingStepOnUnit,periodTasks,368,3963
10,ProductRouting,hasMinOrderQuantity,206,3963
10,UnitPeriodTime,usedNormalCapacityDuration,7,1330
10,PeriodTask,productRoutingStep,66,27741
10,PeriodTask,isUnitAvailableCapacityZero,134,27741
10,PeriodTask,newSupplies,374,27741
10,SupplyChainPlanner,jointIdToResourceGroupFromPPMap,0,1
10,SupplyChain,parentSupplyChain,0,7
10,ProductInStockingPointInPeriod,isBeforeStartOfPlanningHorizon,140,41706
10,ProductRoutingStepOnUnit,productRoutingStepId,12,3963
10,PeriodTask,product,89,27741
10,ProductInStockingPointInPeriod,startDate,230,41706
10,ProductInStockingPointInPeriod,salesDemands,395,41706
10,UnitPeriodTime,shiftPattern,6,1330
10,UnitPeriodInfinite,unitId,0,35
10,SupplyChainUnit,unitPeriodQuantities,1,195
10,SupplyChainPlanner,jointIdToRoutingStepFromPPMap,0,1
10,ProductRouting,isTransportRouting,8,3963
10,SupplyChainPlanner,parentUnitIdToUnitMap,1,1
10,ProductRouting,hasLotSize,12,3963
10,Period,isBeforeStartOfPlanningHorizon,0,7
10,PeriodDefinitionSequence,end,0,1
10,Period,periodNr,1,7
10,SupplyChainPlanner,jointIdToPISPFromStatisticMap,1,1
10,Period,next,0,7
10,ProductInStockingPoint,totalOriginalSalesDemandQuantity,28,5958
10,PeriodTask,productNameOfOutput,74,27741
10,ProductRouting,isDetectionRouting,11,3963
10,PeriodTask,usedCapacity,147,27741
10,SupplyChainPlanner,unitIdToSupplyChainUnitsFromPPMap,1,1
10,ProductInStockingPointInPeriod,dependentDemands,251,62503
10,ProductInStockingPointInPeriod,isSemiFinishedProductStockingPoint,103,41706
10,ProductRouting,scp,6,3963
10,PeriodTask,periodTaskInOwner,119,27741
10,ProductInStockingPoint,salesDemands,29,5958
10,PeriodTask,asLeadSameStepInPeriod,338,27741
10,UnitPeriodTime,isBeforeStartOfPlanningHorizon,10,1330
10,NewSupply,quantity,68,27897
10,ProductInStockingPointInPeriod,purchaseRequestReleaseQuantity,150,41706
10,UnitPeriodTime,duration,8,1330
10,ProductInStockingPointInPeriod,salesDemandQuantity,297,41706
10,StockingPoint,isFinishedProductStockingPoint,0,8
10,DailyPeriod,endDate,0,35
10,Product,allProductRoutings,18,1991
10,ProductRouting,planOrders,18,3963
10,DependentDemand,productId,79,20797
10,PeriodTask,hasLotSizeInThisPeriod,70,27741
10,SupplyChainPlanner,periods,0,1
10,SupplyChainPlanner,productIdToProductsFromAutoMap,0,1
10,DependentDemand,inventoryInfo,69,20797
10,SupplyChainUnit,defaultShiftPattern,0,195
10,ProductRouting,productRoutingSteps,27,7926
10,ProductInStockingPointInPeriod,stockingPointName,113,41706
10,SupplyChainPlanner,jointIdToProductRoutingStepOnResourceFromPPMap,7,1
10,ProductInStockingPointInPeriod,resourceReason,384,41706
10,PeriodTask,productionCycleTime,116,27741
10,UnitPeriodInfinite,start,1,35
10,SupplyChainPlanner,iopMap,26,2
10,ProductRoutingStep,outputProducts,28,7926
10,ProductRouting,supplyWithMOQ,17,3963
10,ProductRoutingStep,productRoutingStepOnUnits,36,6939
10,BillOfMaterial,rawMaterial,8,992
10,SupplyChainPlanner,productRoutingIdToProductRoutingStepOnResourceFromPPMap,6,1
10,SupplyChainPlanner,unitIdToSupplyChainUnitsFromAutoMap,0,1
10,DependentDemand,inventoryFlagGroup,108,20797
10,PeriodTask,freeCapacity,255,27741
10,DependentDemand,dependentDemandSet,84,20797
10,ProductInStockingPointInPeriod,isFinishedProductStockingPoint,118,41706
10,PeriodTask,resourceFlag,346,27741
10,ProductRouting,minOrderQuantity,5,3963
10,ProductInStockingPointInPeriod,productId,150,41706
10,SupplyChainPlanner,jointIdToProductRoutingFromPPMap,5,1
10,PeriodTask,asLeadPreviousStepInPeriod,75,27741
10,SupplyChainPlanner,prsMap,13,2
10,SupplyChainPlanner,unitPeriods,0,1
10,ProductStatisticLevel,level,0,1
10,UnitPeriodTime,unitId,8,1330
10,ProductInStockingPointInPeriod,inventorySupplyQuantity,448,41706
10,UnitPeriodTime,usedExtraCapacityDuration,4,1330
10,UnitPeriodInfinite,hasChildren,0,35
10,SupplyChainPlanner,productInStockingPoints,3,2
10,ProductInStockingPointInPeriod,dependentDemandQuantity,218,41706
10,SupplyChainPlanner,pispip2NsMap,99,1
10,SupplyChainPlanner,supplyChainUnits,0,1
10,SupplyChainPlanner,productIdToProductsFromBOMMap,10,1
10,UnitPeriodTime,isFreeAvailableCapacityZero,6,1330
10,UnitPeriodTime,nrOfUnitsOpen,5,1330
10,SupplyChainPlanner,jointIdToResourceFromPPMap,1,1
10,NewSupply,materialFlag,93,27897
10,ProductInStockingPointInPeriod,isRawMaterialStockingPoint,117,41706
10,ProductInStockingPointInPeriod,fulfilledSalesDemandQuantity,127,41706
10,ProductInStockingPointInPeriod,supplyQuantity,263,41706
10,PeriodTask,end,112,27741
10,InputOutputProduct,isMaterialConstraint,15,6934
10,PeriodTask,unitId,145,27741
10,ProductRouting,hasMinOrderQuantityInKT,38,3963
10,PeriodTask,quantityToProcess,56,27741
10,ProductInStockingPoint,isRawMaterialStockingPoint,20,5958
10,InputOutputProduct,product,29,6934
10,UnitPeriodInfinite,endDate,0,35
10,ProductRouting,isLeadRouting,21,3963
10,PeriodDefinition,end,0,1
10,Product,statisticProductInStockingPoints,48,1993
10,PeriodTask,startDate,102,27741
10,DependentDemand,firstPriority,57,20797
10,PeriodTask,isLastPeriodTask,75,27741
10,Product,statisticStockingPoints,54,1993
10,ProductInStockingPoint,needsToBeSupplied,10,5958
10,Product,inspectionDuration,28,1991
10,ProductStatisticLevel,productParentStatisticLevel,0,1
10,DependentDemand,inventoryFlagFromPispip,62,20797
10,PeriodTask,endDate,98,27741
10,ProductRoutingStepOnUnit,allowedUnitInfo,22,3963
10,ProductInStockingPoint,monthlyDeliveredQuantityN,36,5958
